ABE
ABI
ABQ
ABR
ABY
ACT
ACV
ACY
ADK
ADQ
AEX
AGS
ALB
ALO
ALW
AMA
ANC
APN
ART
ASE
ATL
ATW
ATY
AUS
AVL
AVP
AZA
AZO
BDL
BET
BFF
BFL
BFM
BGM
BGR
BHM
BIL
BIS
BJI
BKG
BLI
BLV
BMI
BNA
BOI
BOS
BPT
BQK
BRD
BRO
BRW
BTM
BTR
BTV
BUF
BUR
BWI
BZN
CAE
CAK
CDC
CDV
CGI
CHA
CHO
CHS
CID
CIU
CKB
CLE
CLL
CLT
CMH
CMI
CMX
CNY
COD
COS
COU
CPR
CRP
CRW
CSG
CVG
CWA
CYS
DAB
DAL
DAY
DBQ
DCA
DEN
DFW
DHN
DIK
DLH
DRO
DRT
DSM
DTW
DVL
EAR
EAT
EAU
ECP
EGE
EKO
ELM
ELP
ERI
ESC
EUG
EVV
EWN
EWR
EYW
FAI
FAR
FAT
FAY
FCA
FLG
FLL
FLO
FNT
FSD
FSM
FWA
GCC
GCK
GEG
GFK
GGG
GJT
GNV
GPT
GRB
GRI
GRK
GRR
GSO
GSP
GTF
GTR
GUC
GUM
HDN
HGR
HIB
HLN
HNL
HOB
HOU
HPN
HRL
HSV
HTS
HVN
HYS
IAD
IAG
IAH
ICT
IDA
ILM
IMT
IND
INL
IPT
ISP
ITH
ITO
JAC
JAN
JAX
JFK
JLN
JMS
JNU
KOA
KTN
LAN
LAR
LAS
LAW
LAX
LBB
LBF
LBL
LCH
LEX
LFT
LGA
LGB
LIH
LIT
LNK
LNY
LRD
LSE
LWB
LWS
LYH
MAF
MBS
MCI
MCO
MDT
MDW
MEI
MEM
MFE
MFR
MGM
MHK
MHT
MIA
MKE
MKG
MKK
MLB
MLI
MLU
MMH
MOB
MOT
MQT
MRY
MSN
MSO
MSP
MSY
MTJ
MYR
OAJ
OAK
OGD
OGG
OGS
OKC
OMA
OME
ONT
ORD
ORF
ORH
OTH
OTZ
OWB
PAE
PAH
PBG
PBI
PDX
PGD
PGV
PHF
PHL
PHX
PIA
PIB
PIE
PIH
PIR
PIT
PLN
PNS
PPG
PQI
PRC
PSC
PSG
PSM
PSP
PUB
PUW
PVD
PVU
PWM
RAP
RDD
RDM
RDU
RFD
RHI
RIC
RKS
RNO
ROA
ROC
ROW
RST
RSW
SAF
SAN
SAT
SAV
SBA
SBN
SBP
SBY
SCC
SCE
SCK
SDF
SEA
SFB
SFO
SGF
SGU
SHD
SHV
SIT
SJC
SJT
SJU
SLC
SLN
SMF
SMX
SNA
SPI
SPN
SPS
SRQ
STC
STL
STS
STT
STX
SUN
SUX
SWO
SYR
TLH
TOL
TPA
TRI
TTN
TUL
TUS
TVC
TWF
TXK
TYR
TYS
UIN
USA
VEL
VLD
VPS
WRG
XNA
YAK
YKM
YUM
