iata_code,airport_name,latitude,longitude,elevation_ft,city,station_id,station_name,mindate,maxdate,distance
GUC,Gunnison Crested Butte Regional Airport,38.534,-106.933,7680,Gunnison,WBAN:93007,"GUNNISON CO AIRPORT, CO US",1/1/2005,3/23/2020,0.08
GUM,Antonio B. Won Pat International Airport,13.483,144.8,77,Guam,WBAN:41415,"GUAM INTERNATIONAL AIRPORT, US",12/31/1967,3/30/2020,0
HDN,Yampa Valley Airport,40.481,-107.218,6606,Hayden,WBAN:94025,"HAYDEN YAMPA VALLEY AIRPORT, CO US",1/1/2005,3/23/2020,0.044
HGR,Hagerstown Regional Richard A Henson Field,39.708,-77.729,703,Hagerstown,WBAN:93706,"HAGERSTOWN REGIONAL AIRPORT, MD US",1/1/2005,3/23/2020,0.233
HHH,Hilton Head Airport,32.224,-80.698,19,Hilton Head Island,WBAN:63837,"HILTON HEAD ISLAND AIRPORT, SC US",1/1/2006,3/23/2020,0.834
HIB,Range Regional Airport,47.387,-92.839,1354,Hibbing,WBAN:94931,"HIBBING CHISHOLM HIBBING AIRPORT, MN US",1/1/1972,3/23/2020,0.068
HKY,Hickory Regional Airport,35.741,-81.39,1190,Hickory,WBAN:03810,"HICKORY FAA AIRPORT, NC US",1/1/1949,3/23/2020,0.707
HLN,Helena Regional Airport,46.607,-111.983,3877,Helena,WBAN:24144,"HELENA AIRPORT ASOS, MT US",1/1/1948,3/23/2020,1.494
HNL,Daniel K Inouye International Airport,21.321,-157.924,13,Honolulu,WBAN:22521,"HONOLULU INTERNATIONAL AIRPORT, HI US",6/1/1939,3/23/2020,0.651
HOB,Lea County Regional Airport,32.688,-103.217,3661,Hobbs,WBAN:93034,"HOBBS FAA, NM US",11/1/1942,3/23/2020,0.724
HOU,William P Hobby Airport,29.645,-95.279,46,Houston,WBAN:12918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",7/1/1948,3/23/2020,0.82
HPN,Westchester County Airport,41.067,-73.708,439,White Plains,WBAN:94745,"WESTCHESTER CO AIRPORT, NY US",1/1/1949,3/23/2020,0.588
HRL,Valley International Airport,26.229,-97.654,36,Harlingen,WBAN:12904,"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",3/1/1942,3/23/2020,0.106
HSV,Huntsville International Carl T Jones Field,34.637,-86.775,629,Huntsville,WBAN:03856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",9/1/1958,3/23/2020,1.274
HTS,Tri-State/Milton J. Ferguson Field,38.367,-82.558,828,Huntington,WBAN:03860,"HUNTINGTON TRI STATE AIRPORT, WV US",12/1/1961,3/23/2020,0.333
HVN,Tweed New Haven Airport,41.264,-72.887,12,New Haven,WBAN:14758,"NEW HAVEN TWEED AIRPORT, CT US",1/1/1948,3/23/2020,0.022
HYA,Barnstable Municipal Boardman Polando Field,41.669,-70.28,54,Hyannis,WBAN:94720,"HYANNIS BARNSTABLE MUNICIPAL AIRPORT, MA US",1/1/2005,3/23/2020,0.043
HYS,Hays Regional Airport,38.842,-99.273,1999,Hays,WBAN:03968,"HAYS MUNICIPAL AIRPORT, KS US",1/1/2005,3/23/2020,0.901
IAD,Washington Dulles International Airport,38.94449997,-77.45580292,312,Washington,WBAN:93738,"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US",11/17/1962,3/30/2020,0
IAG,Niagara Falls International Airport,43.107,-78.946,589,Niagara Falls,WBAN:04724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",6/12/1951,3/23/2020,0.663
IAH,George Bush Intercontinental Houston Airport,29.984,-95.341,97,Houston,WBAN:12960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",6/1/1969,3/23/2020,1.886
ICT,Wichita Eisenhower National Airport,37.65,-97.433,1333,Wichita,WBAN:03928,"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US",1/1/1954,3/23/2020,0.384
IDA,Idaho Falls Regional Airport,43.515,-112.071,4744,Idaho Falls,WBAN:24145,"IDAHO FALLS FANNING FIELD, ID US",1/1/1948,3/23/2020,0.726
IFP,Laughlin Bullhead International Airport,35.157,-114.56,701,Bullhead City,WBAN:53135,"LAUGHLIN BULLHEAD INTERNATIONAL AIRPORT, AZ US",4/18/2005,3/23/2020,0.057
ILE,Skylark Field,31.086,-97.687,848,Killeen,WBAN:03972,"KILLEEN MUNICIPAL AIRPORT, TX US",1/1/2005,3/23/2020,0.459
ILG,New Castle Airport,39.679,-75.606,80,Wilmington,WBAN:13781,"WILMINGTON NEW CASTLE CO AIRPORT, DE US",8/1/1942,3/23/2020,0.512
ILM,Wilmington International Airport,34.271,-77.903,32,Wilmington,WBAN:13748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",6/1/1942,3/23/2020,0.493
IMT,Ford Airport,45.818,-88.115,1182,Iron Mountain / Kingsford,WBAN:94893,"IRON MOUNTAIN FORD AIRPORT, MI US",1/1/2005,3/23/2020,0.057
IND,Indianapolis International Airport,39.717,-86.294,797,Indianapolis,WBAN:93819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",10/6/1942,3/23/2020,1.392
INL,Falls International Airport,48.566,-93.403,1185,International Falls,WBAN:14918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/1/1948,3/23/2020,0.626
IPL,Imperial County Airport,32.834,-115.579,-54,Imperial,WBAN:03144,"IMPERIAL CO AIRPORT, CA US",1/1/2005,3/23/2020,0.041
IPT,Williamsport Regional Airport,41.242,-76.921,529,Williamsport,WBAN:14778,"WILLIAMSPORT REGIONAL AIRPORT, PA US",7/1/1948,3/23/2020,0.156
ISN,Sloulin Field International Airport,48.178,-103.642,1982,Williston,GHCND:USW00094014,"WILLISTON SLOULIN FIELD, ND US",1/1/1894,1/6/2020,0.616
ISO,Kinston Regional Jetport At Stallings Field,35.331,-77.609,93,Kinston,WBAN:93726,"KINSTON STALLINGS FIELD, NC US",11/1/1954,3/23/2020,2.724
ISP,Long Island Mac Arthur Airport,40.795,-73.1,99,Islip,WBAN:04781,"ISLIP LI MACARTHUR AIRPORT, NY US",1/1/1973,3/23/2020,0.202
ITH,Ithaca Tompkins Regional Airport,42.491,-76.458,1099,Ithaca,WBAN:94761,"ITHACA TOMPKINS CNTY, NY US",8/4/2005,3/23/2020,1.111
ITO,Hilo International Airport,19.721,-155.048,38,Hilo,WBAN:21504,"HILO INTERNATIONAL AIRPORT 87, HI US",4/15/1943,3/23/2020,0.565
IYK,Inyokern Airport,35.659,-117.83,2457,Inyokern,WBAN:93104,"CHINA LAKE NAF, CA US",4/1/1945,3/23/2020,12.791
JAC,Jackson Hole Airport,43.607,-110.738,6451,Jackson,WBAN:24166,"JACKSON HOLE AIRPORT, WY US",1/1/2005,3/23/2020,0.864
JAN,Jackson-Medgar Wiley Evers International Airport,32.311,-90.076,346,Jackson,WBAN:03940,"JACKSON INTERNATIONAL AIRPORT, MS US",9/1/1942,3/23/2020,0.997
JAX,Jacksonville International Airport,30.494,-81.688,30,Jacksonville,WBAN:13889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",1/1/1948,3/23/2020,0.549
JFK,John F Kennedy International Airport,40.64,-73.779,13,New York,WBAN:94789,"JFK INTERNATIONAL AIRPORT, NY US",7/1/1948,3/23/2020,1.272
JHM,Kapalua Airport,20.963,-156.673,256,Lahaina,WBAN:22552,"KAPALUA W. MAUI AIRPORT 462.4, HI US",9/20/2005,3/23/2020,0.246
JLN,Joplin Regional Airport,37.152,-94.498,981,Joplin,WBAN:13987,"JOPLIN REGIONAL AIRPORT, MO US",1/1/1948,3/23/2020,0.244
JMS,Jamestown Regional Airport,46.93,-98.678,1500,Jamestown,WBAN:14919,"JAMESTOWN MUNICIPAL AIRPORT, ND US",12/1/1948,3/23/2020,0.823
JNU,Juneau International Airport,58.355,-134.576,21,Juneau,WBAN:25309,"JUNEAU AIRPORT, AK US",7/1/1948,3/23/2020,0.725
KOA,Ellison Onizuka Kona International At Keahole Airport,19.739,-156.046,47,Kailua/Kona,WBAN:21510,"KAILUA KONA KE AHOLE AIRPORT, HI US",1/1/2005,3/23/2020,0.487
KTN,Ketchikan International Airport,55.356,-131.714,89,Ketchikan,WBAN:25325,"KETCHIKAN AIRPORT, AK US",7/1/1948,3/23/2020,4.114
LAN,Capital City Airport,42.779,-84.587,861,Lansing,WBAN:14836,"LANSING CAPITAL CITY AIRPORT, MI US",1/1/1948,3/23/2020,1.088
LAR,Laramie Regional Airport,41.312,-105.675,7284,Laramie,WBAN:24022,"LARAMIE AIRPORT, WY US",1/1/1948,3/23/2020,0.869
LAS,McCarran International Airport,36.08,-115.152,2181,Las Vegas,WBAN:23169,"MCCARRAN INTERNATIONAL AIRPORT, NV US",12/19/1948,3/23/2020,1.365
LAW,Lawton Fort Sill Regional Airport,34.568,-98.417,1110,Lawton,WBAN:03950,"LAWTON MUNICIPAL AIRPORT, OK US",1/1/2005,3/23/2020,1.065
LAX,Los Angeles International Airport,33.943,-118.408,125,Los Angeles,WBAN:23174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/1/1944,3/23/2020,1.86
LBB,Lubbock Preston Smith International Airport,33.664,-101.823,3282,Lubbock,WBAN:23042,"LUBBOCK INTERNATIONAL AIRPORT, TX US",8/10/1945,3/23/2020,0.178
LBE,Arnold Palmer Regional Airport,40.276,-79.405,1199,Latrobe,WBAN:54735,"LATROBE, PA US",1/2/2005,3/23/2020,0.918
LBF,North Platte Regional Airport Lee Bird Field,41.126,-100.684,2777,North Platte,WBAN:24023,"NORTH PLATTE REGIONAL AIRPORT, NE US",1/1/1948,3/23/2020,1.333
LBL,Liberal Mid-America Regional Airport,37.044,-100.96,2885,Liberal,WBAN:23020,"LIBERAL MUNICIPAL AIRPORT, KS US",1/1/2005,3/23/2020,0.892
LCH,Lake Charles Regional Airport,30.126,-93.223,15,Lake Charles,WBAN:03937,"LAKE CHARLES REGIONAL AIRPORT, LA US",5/2/1942,3/23/2020,0.533
LCK,Rickenbacker International Airport,39.814,-82.928,744,Columbus,WBAN:13812,"COLUMBUS RICKENBACKER, OH US",8/1/1942,3/23/2020,0.544
LEX,Blue Grass Airport,38.036,-84.606,979,Lexington,WBAN:93820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1/1/1948,3/23/2020,0.533
LFT,Lafayette Regional Airport,30.205,-91.988,42,Lafayette,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",10/1/1945,3/23/2020,0.048
LGA,La Guardia Airport,40.777,-73.873,21,New York,WBAN:14732,"LAGUARDIA AIRPORT, NY US",7/1/1948,3/23/2020,0.677
LGB,Long Beach /Daugherty Field/ Airport,33.818,-118.152,60,Long Beach,WBAN:23129,"LONG BEACH DAUGHERTY AIRPORT, CA US",1/1/1943,3/23/2020,0.885
LIH,Lihue Airport,21.976,-159.339,153,Lihue,WBAN:22536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",2/1/1950,3/23/2020,0.888
LIT,Bill & Hillary Clinton National Airport/Adams Field,34.729,-92.224,262,Little Rock,WBAN:13963,"LITTLE ROCK AIRPORT ADAMS FIELD, AR US",7/1/1948,3/23/2020,1.378
LMT,Crater Lake-Klamath Regional Airport,42.156,-121.733,4095,Klamath Falls,WBAN:94236,"KLAMATH FALLS INTERNATIONAL AIRPORT, OR US",9/1/1959,3/23/2020,1.243
LNK,Lincoln Airport,40.851,-96.759,1219,Lincoln,WBAN:14939,"LINCOLN AIRPORT, NE US",10/1/1942,3/23/2020,0.97
LNY,Lanai Airport,20.786,-156.951,1308,Lanai City,WBAN:22524,"LANAI AIRPORT 656, HI US",8/17/2005,3/23/2020,0.467
LRD,Laredo International Airport,27.544,-99.462,508,Laredo,WBAN:12907,"LAREDO INTERNATIONAL AIRPORT, TX US",2/25/2005,3/23/2020,1.269
LSE,La Crosse Municipal Airport,43.879,-91.257,655,La Crosse,WBAN:14920,"LA CROSSE MUNICIPAL AIRPORT, WI US",1/1/1948,3/23/2020,0.346
LWB,Greenbrier Valley Airport,37.858,-80.399,2302,Lewisburg,WBAN:53801,"LEWISBURG, WV US",1/1/2005,3/23/2020,0.483
LWS,Lewiston Nez Perce County Airport,46.375,-117.015,1442,Lewiston,WBAN:24149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/1/1948,3/23/2020,0.057
LYH,Lynchburg Regional Preston Glenn Field,37.327,-79.2,938,Lynchburg,WBAN:13733,"LYNCHBURG INTERNATIONAL AIRPORT, VA US",1/1/1948,3/23/2020,0.909
MAF,Midland International Airport,31.942,-102.202,2871,Midland,WBAN:23023,"MIDLAND INTERNATIONAL AIRPORT, TX US",2/1/1948,3/23/2020,0.873
MBS,MBS International Airport,43.533,-84.08,668,Saginaw,WBAN:14845,"SAGINAW MBS INTERNATIONAL AIRPORT, MI US",12/1/1948,3/23/2020,0.024
MCI,Kansas City International Airport,39.298,-94.714,1026,Kansas City,WBAN:03947,"KANSAS CITY INTERNATIONAL AIRPORT, MO US",10/1/1972,3/23/2020,1.435
MCN,Middle Georgia Regional Airport,32.693,-83.649,354,Macon,WBAN:03813,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",10/20/1941,3/23/2020,0.984
MCO,Orlando International Airport,28.429,-81.309,96,Orlando,WBAN:12815,"ORLANDO INTERNATIONAL AIRPORT, FL US",5/7/1952,3/23/2020,1.659
MDT,Harrisburg International Airport,40.194,-76.763,310,Harrisburg,WBAN:14711,"MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US",2/1/1935,3/23/2020,0.837
MDW,Chicago Midway International Airport,41.786,-87.752,620,Chicago,WBAN:14819,"CHICAGO MIDWAY AIRPORT, IL US",1/1/1948,3/23/2020,0.022
MEI,Key Field,32.333,-88.752,297,Meridian,WBAN:13865,"MERIDIAN KEY FIELD, MS US",3/1/1942,3/23/2020,0.758
MEM,Memphis International Airport,35.042,-89.977,341,Memphis,WBAN:13893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",10/1/1946,3/23/2020,1.818
MFE,Mc Allen Miller International Airport,26.176,-98.239,107,Mc Allen,WBAN:12959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1/1/1973,3/23/2020,1.726
MFR,Rogue Valley International Medford Airport,42.374,-122.873,1335,Medford,WBAN:24225,"MEDFORD INTERNATIONAL AIRPORT, OR US",1/1/1948,3/23/2020,0.791
MGM,Montgomery Regional (Dannelly Field) Airport,32.301,-86.394,221,Montgomery,WBAN:13895,"MONTGOMERY AIRPORT, AL US",1/1/1948,3/23/2020,1.28
MHK,Manhattan Regional Airport,39.141,-96.671,1057,Manhattan,WBAN:03936,"MANHATTAN ASOS, KS US",1/1/2005,3/23/2020,0.98
MHT,Manchester-Boston Regional Airport,42.933,-71.436,266,Manchester,WBAN:14710,"MANCHESTER AIRPORT, NH US",1/1/1949,3/23/2020,0.375
MIA,Miami International Airport,25.793,-80.291,8,Miami,WBAN:12839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/1/1948,3/23/2020,2.654
MKC,Charles B. Wheeler Downtown Airport,39.123,-94.593,759,Kansas City,WBAN:13988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1/1/1948,3/23/2020,0.416
MKE,General Mitchell International Airport,42.947,-87.897,723,Milwaukee,WBAN:14839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",1/1/1948,3/23/2020,1.074
MKG,Muskegon County Airport,43.169,-86.238,629,Muskegon,WBAN:14840,"MUSKEGON CO AIRPORT, MI US",1/1/1948,3/23/2020,0.258
MKK,Molokai Airport,21.153,-157.096,454,Kaunakakai,WBAN:22534,"MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT, HI US",1/1/2005,3/23/2020,0.166
MLB,Melbourne International Airport,28.103,-80.645,33,Melbourne,WBAN:12838,"MELBOURNE INTERNATIONAL AIRPORT, FL US",1/1/1948,3/23/2020,0.237
MLI,Quad City International Airport,41.449,-90.507,590,Moline,WBAN:14923,"MOLINE QUAD CITY INTERNATIONAL AIRPORT, IL US",2/9/1948,3/23/2020,2.265
MLU,Monroe Regional Airport,32.511,-92.038,79,Monroe,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",10/1/1942,3/23/2020,0.552
MMH,Mammoth Yosemite Airport,37.624,-118.838,7135,Mammoth Lakes,WBAN:03181,"MAMMOTH LAKES MAMMOTH YOSEMITE AIRPORT, CA US",4/21/2005,3/23/2020,1.481
MOB,Mobile Regional Airport,30.691,-88.243,219,Mobile,WBAN:13894,"MOBILE REGIONAL AIRPORT, AL US",1/1/1948,3/23/2020,0.384
MOD,Modesto City Co-Harry Sham Field,37.626,-120.954,97,Modesto,WBAN:23258,"MODESTO CITY CO AIRPORT, CA US",1/1/1973,3/23/2020,0.374
MOT,Minot International Airport,48.259,-101.28,1716,Minot,WBAN:24013,"MINOT INTERNATIONAL AIRPORT, ND US",12/1/1948,3/23/2020,0.653
MQT,Sawyer International Airport,46.354,-87.395,1221,Marquette,WBAN:94836,"GWINN K I SAWYER AFB, MI US",1/1/2005,3/23/2020,0.588
MRY,Monterey Peninsula Airport,36.587,-121.843,257,Monterey,WBAN:23259,"MONTEREY PENINSUL AIRPORT, CA US",1/1/2005,3/23/2020,0.239
MSN,Dane County Regional Truax Field,43.14,-89.338,887,Madison,WBAN:14837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1/1/1948,3/23/2020,0.588
MSO,Missoula International Airport,46.916,-114.091,3206,Missoula,WBAN:24153,"MISSOULA INTERNATIONAL AIRPORT, MT US",1/1/1948,3/23/2020,0.546
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.222,841,Minneapolis,WBAN:14922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",1/1/1945,3/23/2020,0.559
MSY,Louis Armstrong New Orleans International Airport,29.993,-90.258,4,New Orleans,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",10/1/1945,3/23/2020,1.932
MTH,The Florida Keys Marathon Airport,24.726,-81.051,5,Marathon,WBAN:12896,"MARATHON AIRPORT, FL US",1/1/2005,3/23/2020,0.07
MTJ,Montrose Regional Airport,38.51,-107.894,5759,Montrose,WBAN:93013,"MONTROSE REGIONAL AIRPORT, CO US",1/1/2005,3/23/2020,0.629
MVY,Martha's Vineyard Airport,41.393,-70.614,67,Martha's Vineyard,WBAN:94724,"VINEYARD HAVEN MARTHAS VINEYARD AIRPORT, MA US",1/1/2005,3/23/2020,0.084
MWH,Grant County International Airport,47.208,-119.32,1189,Moses Lake,WBAN:24110,"MOSES LAKE GRANT CO AIRPORT, WA US",6/10/1943,3/23/2020,0.067
MYR,Myrtle Beach International Airport,33.68,-78.928,25,Myrtle Beach,WBAN:13717,"MYRTLE BEACH AFB, SC US",11/1/1942,3/23/2020,0.617
OAJ,Albert J Ellis Airport,34.829,-77.612,94,Jacksonville,WBAN:93753,"JACKSONVILLE ALBERT ELLIS AIRPORT, NC US",1/1/2005,3/23/2020,0.643
OAK,Metropolitan Oakland International Airport,37.721,-122.221,9,Oakland,WBAN:23230,"OAKLAND METROPOLITAN, CA US",1/1/1943,3/23/2020,0.048
OGD,Ogden Hinckley Airport,41.196,-112.012,4473,Ogden,WBAN:24126,"OGDEN HINKLEY AIRPORT, UT US",1/1/1948,3/23/2020,0.053
OGG,Kahului Airport,20.899,-156.43,54,Kahului,WBAN:22516,"KAHULUI AIRPORT, HI US",4/1/1945,3/23/2020,0.165
OGS,Ogdensburg International Airport,44.682,-75.465,297,Ogdensburg,WBAN:94725,"MASSENA INTERNATIONAL AIRPORT, NY US",2/1/1949,3/23/2020,57
OKC,Will Rogers World Airport,35.393,-97.601,1295,Oklahoma City,WBAN:13967,"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US",12/14/1941,3/23/2020,0.456
OMA,Eppley Airfield,41.303,-95.894,984,Omaha,WBAN:14942,"OMAHA EPPLEY AIRFIELD, NE US",1/1/1948,3/23/2020,0.907
OME,Nome Airport,64.512,-165.445,37,Nome,WBAN:26617,"NOME AIRPORT, AK US",1/1/1940,3/23/2020,0.26
ONT,Ontario International Airport,34.056,-117.601,944,Ontario,WBAN:03102,"ONTARIO INTERNATIONAL AIRPORT, CA US",1/1/1968,3/23/2020,0.068
ORD,Chicago O'Hare International Airport,41.979,-87.905,672,Chicago,WBAN:94846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/1/1946,3/23/2020,3.039
ORF,Norfolk International Airport,36.895,-76.201,26,Norfolk,WBAN:13737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/1/1948,3/23/2020,1.21
ORH,Worcester Regional Airport,42.267,-71.876,1009,Worcester,WBAN:94746,"WORCESTER, MA US",1/1/1949,3/23/2020,0.466
OTH,Southwest Oregon Regional Airport,43.417,-124.246,17,North Bend,WBAN:24284,"NORTH BEND SOUTHWEST OREGON REGIONAL AIRPORT, OR US",5/1/1949,3/23/2020,0.451
OTZ,Ralph Wien Memorial Airport,66.885,-162.599,14,Kotzebue,WBAN:26616,"KOTZEBUE AIRPORT, AK",1/1/1945,3/23/2020,0
OWB,Owensboro Daviess County Airport,37.74,-87.167,407,Owensboro,WBAN:53803,"OWENSBORO DAVIESS CO REGIONAL AIRPORT, KY US",6/2/2005,3/23/2020,1.11
OXR,Oxnard Airport,34.201,-119.207,45,Oxnard,WBAN:93110,"OXNARD VENTURA CO AIRPORT, CA US",4/1/1944,3/23/2020,0.02
PAE,Snohomish County (Paine Field) Airport,47.906,-122.282,606,Everett,WBAN:24222,"EVERETT SNOHOMISH CO AIRPORT, WA US",1/1/2005,3/23/2020,0.236
PAH,Barkley Regional Airport,37.061,-88.774,410,Paducah,WBAN:03816,"PADUCAH BARKLEY REGIONAL AIRPORT, KY US",9/1/1949,3/23/2020,0.523
PBG,Plattsburgh International Airport,44.651,-73.468,234,Plattsburgh,WBAN:64776,"PLATTSBURGH INTERNATIONAL AIRPORT, NY US",6/18/2007,3/23/2020,0.153
PBI,Palm Beach International Airport,26.683,-80.096,19,West Palm Beach,WBAN:12844,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",2/6/1943,3/23/2020,0.387
PDX,Portland International Airport,45.589,-122.598,31,Portland,WBAN:24229,"PORTLAND INTERNATIONAL AIRPORT, OR US",5/1/1936,3/23/2020,1.161
PGD,Charlotte County Airport,26.92,-81.991,26,Punta Gorda,WBAN:12812,"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",1/1/2005,3/23/2020,0.31
PGV,Pitt Greenville Airport,35.635,-77.385,26,Greenville,WBAN:13783,"GREENVILLE PITT GREENVILLE AIRPORT, NC US",1/1/2005,3/23/2020,0.239
PHF,Newport News Williamsburg International Airport,37.132,-76.493,42,Newport News,WBAN:93741,"NEWPORT NEWS INTERNATIONAL AIRPORT, VA US",1/1/2000,3/23/2020,0.009
PHL,Philadelphia International Airport,39.872,-75.241,36,Philadelphia,WBAN:13739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/1/1941,3/23/2020,1.225
PHX,Phoenix Sky Harbor International Airport,33.434,-112.012,1135,Phoenix,WBAN:23183,"PHOENIX AIRPORT, AZ US",1/1/1948,3/23/2020,1.034
PIA,General Wayne A. Downing Peoria International Airport,40.664,-89.693,660,Peoria,WBAN:14842,"PEORIA INTERNATIONAL AIRPORT, IL US",1/1/1948,3/23/2020,0.862
PIB,Hattiesburg Laurel Regional Airport,31.467,-89.337,298,Hattiesburg/Laurel,WBAN:53808,"LAUREL HATTIESBURG PINE BELT REGIONAL AIRPORT, MS US",1/1/2005,3/23/2020,0.351
PIE,St Petersburg Clearwater International Airport,27.91,-82.687,11,St Petersburg-Clearwater,WBAN:12873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",1/1/2005,3/23/2020,0.079
PIH,Pocatello Regional Airport,42.91,-112.596,4452,Pocatello,WBAN:24156,"POCATELLO REGIONAL AIRPORT, ID US",1/1/1943,3/23/2020,2.328
PIR,Pierre Regional Airport,44.383,-100.286,1744,Pierre,WBAN:24025,"PIERRE REGIONAL AIRPORT, SD US",3/1/1944,3/23/2020,0.193
PIT,Pittsburgh International Airport,40.492,-80.233,1203,Pittsburgh,WBAN:94823,"PITTSBURGH ASOS, PA US",2/1/1945,3/23/2020,1.778
PLN,Pellston Regional Airport of Emmet County Airport,45.571,-84.797,721,Pellston,WBAN:14841,"PELLSTON REGIONAL AIRPORT, MI US",1/1/1948,3/23/2020,0.807
PMD,Palmdale Regional/USAF Plant 42 Airport,34.629,-118.085,2543,Palmdale,WBAN:23182,"PALMDALE AIRPORT, CA US",11/1/1948,3/23/2020,0.136
PNS,Pensacola International Airport,30.473,-87.187,121,Pensacola,WBAN:13899,"PENSACOLA REGIONAL AIRPORT, FL US",12/31/1948,3/23/2020,0.561
PPG,Pago Pago International Airport,-14.33,�-170.71,3,American Samoa,WBAN:61705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, US",8/1/1945,3/29/2020,0
PQI,Presque Isle International Airport,46.689,-68.045,534,Presque Isle,WBAN:14604,"PRESQUE ISLE MUNICIPAL AIRPORT, ME US",11/1/1941,3/23/2020,0.737
PRC,Prescott Regional Airport - Ernest A. Love Field,34.654,-112.42,5045,Prescott,WBAN:23184,"PRESCOTT LOVE FIELD, AZ US",1/1/1948,3/23/2020,0.269
PSC,Tri Cities Airport,46.265,-119.119,410,Pasco,WBAN:24163,"PASCO TRI CITIES AIRPORT, WA US",4/1/1945,3/23/2020,0.258
PSG,Petersburg James A Johnson Airport,56.802,-132.945,111,Petersburg,WBAN:25329,"PETERSBURG 1, AK US",7/1/1948,3/23/2020,0.616
PSM,Portsmouth International at Pease Airport,43.078,-70.823,100,Portsmouth,WBAN:04743,"PORTSMOUTH PEASE AFB, NH US",4/25/2005,3/23/2020,0.785
PSP,Palm Springs International Airport,33.83,-116.507,477,Palm Springs,WBAN:93138,"PALM SPRINGS ASOS, CA US",1/1/2005,3/23/2020,0.373
PUB,Pueblo Memorial Airport,38.289,-104.497,4726,Pueblo,WBAN:93058,"PUEBLO MEMORIAL AIRPORT, CO US",10/1/1942,3/23/2020,0.167
PUW,Pullman Moscow Regional Airport,46.744,-117.11,2556,Pullman/Moscow,WBAN:94129,"PULLMAN MOSCOW REGIONAL AIRPORT, WA US",1/1/2005,3/23/2020,0.107
PVD,Theodore Francis Green State Airport,41.733,-71.42,55,Providence,WBAN:14765,"PROVIDENCE, RI US",8/1/1942,3/23/2020,1.563
PVU,Provo Municipal Airport,40.219,-111.723,4497,Provo,WBAN:24174,"PROVO AIRPORT, UT US",1/1/2005,3/23/2020,0.031
PWM,Portland International Jetport,43.646,-70.309,76,Portland,WBAN:14764,"PORTLAND JETPORT, ME US",1/1/1948,3/23/2020,0.558
RAP,Rapid City Regional Airport,44.045,-103.057,3204,Rapid City,WBAN:24090,"RAPID CITY REGIONAL AIRPORT, SD US",11/1/1950,3/23/2020,0.226
RCA,Ellsworth Air Force Base,44.145,-103.104,3276,Rapid City,WBAN:24006,"ELLSWORTH AFB, SD US",2/1/1939,3/23/2020,0.641
RDD,Redding Municipal Airport,40.509,-122.293,505,Redding,WBAN:24257,"REDDING MUNICIPAL AIRPORT, CA US",9/1/1944,3/23/2020,0.782
RDM,Roberts Field,44.254,-121.15,3080,Redmond,WBAN:24230,"REDMOND AIRPORT, OR US",1/1/1942,3/23/2020,0.704
RDU,Raleigh Durham International Airport,35.878,-78.787,435,Raleigh/Durham,WBAN:13722,"RALEIGH AIRPORT, NC US",11/1/1945,3/23/2020,1.652
RFD,Chicago Rockford International Airport,42.195,-89.097,742,Chicago/Rockford,WBAN:94822,"ROCKFORD GREATER ROCKFORD AIRPORT, IL US",3/1/1951,3/23/2020,0.418
